Customer ID,Age,Gender,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
3353,25.0,Female,Jacket,31.59500546693233,Washington,M,Mauve,Fall,4.0,Standard,No,4,Credit Card,Quarterly
1722,32.0,Female,Handbag,34.15135207375548,Delaware,S,White,Summer,4.0,Standard,No,11,Credit Card,Monthly
3638,45.0,Male,Handbag,23.929249202177274,Utah,L,Fuchsia,Spring,5.0,Standard,No,3,Credit Card,Quarterly
3738,34.0,Female,Running Shoes,33.05221581546154,Kentucky,S,Fuchsia,Spring,5.0,Standard,No,2,Credit Card,Quarterly
2586,35.0,Male,Hoodie,29.422894544804542,Wisconsin,L,Terra cotta,Fall,4.0,Express,No,2,Credit Card,Annually
2280,31.0,Female,Sunglasses,31.62491258791253,West Virginia,L,Fuchsia,Spring,5.0,Express,No,1,Credit Card,Annually
1982,56.0,Female,Gloves,30.133872566295462,Michigan,L,Brick red,Winter,4.0,Standard,No,12,Credit Card,Annually
2114,42.0,Female,Sunglasses,28.85216053714169,Virginia,M,Lavender,Spring,2.0,Standard,No,5,Credit Card,Monthly
2609,29.0,Male,Socks,26.478229671390853,Mississippi,L,Aubergine,Winter,4.0,Standard,No,13,Credit Card,Monthly
3246,50.0,Female,Dress,27.930929295771023,Kansas,M,Periwinkle,Summer,5.0,Standard,No,4,Credit Card,Annually
3736,47.0,Male,T-shirt,35.6318247126098,Massachusetts,L,Fuchsia,Spring,4.0,Standard,No,6,Credit Card,Annually
3093,59.0,Male,Leggings,29.65332933058636,Utah,L,Ruby Red,Winter,5.0,Express,No,2,Credit Card,Annually
3755,31.0,Male,Sweater,31.655074499486016,Nebraska,M,Ruby Red,Winter,4.0,Standard,No,3,Credit Card,Bi-Weekly
2005,30.0,Male,Sunglasses,32.121026275834794,Georgia,L,Baby blue,Summer,2.0,Standard,No,7,Credit Card,Annually
2417,38.0,Female,T-shirt,32.472114305870136,Nebraska,S,Lavender,Summer,4.0,Standard,No,3,Credit Card,Annually
3203,21.0,Non-binary,Shorts,22.842739224029664,Wisconsin,L,Lemon yellow,Summer,2.0,Standard,No,15,Credit Card,Annually
3141,23.0,Male,Gloves,26.853357979586445,Alaska,XL,Mauve,Winter,5.0,Standard,No,11,Credit Card,Monthly
2725,38.0,Female,Dress,43.4538103637565,Missouri,M,Lavender,Summer,4.0,Standard,No,5,Credit Card,Monthly
2001,53.0,Female,Dress,35.59855688518048,California,M,Turquoise,Summer,4.0,Standard,No,6,Credit Card,Annually
3335,29.0,Male,Gloves,33.564008066998774,California,M,Brown,Fall,2.0,Standard,No,1,Credit Card,Quarterly
3803,19.0,Male,Hoodie,36.540353833569775,Illinois,S,Muted mustard yellow,Winter,5.0,Standard,No,3,Credit Card,Annually
3896,30.0,Female,T-shirt,32.31053883178541,Virginia,L,Lavender,Spring,1.0,Standard,No,12,Credit Card,Bi-Weekly
